Symbol,Name,Sector,Industry,Headquarters,CIK
MMM,3M Company,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",0000066740
AOS,A.O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",0000091142
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",0000001800
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,"North Chicago, Illinois",0001551152
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",0001467373
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",0000718877
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,"Atlanta, Georgia",0001144215
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",0000796343
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",0001158449
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,"Sunnyvale, California",0000002488
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",0000874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",0001122304
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",0001004434
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",0000004977
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",0001090872
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",0000002969
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",0001086222
ALK,Alaska Air Group Inc,Industrials,Airlines,"Seattle, Washington",0000766421
ALB,Albemarle Corp,Materials,Specialty Chemicals,"Baton Rouge, Louisiana",0000915913
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,"Pasadena, California",0001035443
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",0000899866
ALGN,Align Technology,Health Care,Health Care Supplies,"San Jose, California",0001097149
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",0001579241
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,"Dublin, Ireland",0000884629
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",0001101215
LNT,Alliant Energy Corp,Utilities,Electric Utilities,"Madison, Wisconsin",0000352541
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",0000899051
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,"Mountain View, California",0001652044
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,"Mountain View, California",0001652044
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",0000764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",0001018724
AEE,Ameren Corp,Utilities,Multi-Utilities,"St. Louis, Missouri",0001002910
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",0000006201
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",0000004904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",0000004962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",0000005272
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",0001053507
AWK,American Water Works Company Inc,Utilities,Water Utilities,"Voorhees, New Jersey",0001410636
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",0000820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",0001140859
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",0001037868
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",0000318154
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",0000820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",0000773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",0000006281
ANDV,Andeavor,Energy,Oil & Gas Refining & Marketing,"San Antonio, Texas",0000050104
ANSS,ANSYS,Information Technology,Application Software,"Canonsburg, Pennsylvania",0001013462
ANTM,Anthem Inc.,Health Care,Managed Health Care,"Indianapolis, Indiana",0001156039
AON,Aon plc,Financials,Insurance Brokers,London,0000315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0000006769
AIV,Apartment Investment & Management,Real Estate,Residential REITs,"Denver, Colorado",0000922864
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",0000320193
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",0000006951
APTV,Aptiv Plc,Consumer Discretionary,Auto Parts & Equipment,"Gillingham, Kent",0001521332
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",0000007084
ARNC,Arconic Inc,Industrials,Aerospace & Defense,"New York, New York",0000004281
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",0000354190
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",0001267238
T,AT&T Inc,Telecommunication Services,Integrated Telecommunication Services,"Dallas, Texas",0000732717
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",0000769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",0000008670
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",0000866787
AVB,"AvalonBay Communities, Inc.",Real Estate,Residential REITs,"Arlington, Virginia",0000915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",0000008818
BHGE,"Baker Hughes, a GE Company",Energy,Oil & Gas Equipment & Services,"Houston, Texas",0001701605
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",0000009389
BAC,Bank of America Corp,Financials,Diversified Banks,"Charlotte, North Carolina",0000070858
BAX,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois",0000010456
BBT,BB&T Corporation,Financials,Regional Banks,"Winston-Salem, North Carolina",0000092230
BDX,Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",0000010795
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",0001067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",0000764478
BIIB,Biogen Inc.,Health Care,Biotechnology,"Weston, Massachusetts",0000875045
BLK,BlackRock,Financials,Asset Management & Custody Banks,"New York, New York",0001364742
HRB,Block H&R,Financials,Consumer Finance,"Kansas City, Missouri",0000012659
BA,Boeing Company,Industrials,Aerospace & Defense,"Chicago, Illinois",0000012927
BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,"Auburn Hills, Michigan",0000908255
BXP,Boston Properties,Real Estate,Office REITs,"Boston, Massachusetts",0001037540
BSX,Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",0000885725
BHF,Brighthouse Financial Inc,Financials,Life & Health Insurance,"Charlotte, North Carolina",0001685040
BMY,Bristol-Myers Squibb,Health Care,Health Care Distributors,"New York, New York",0000014272
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",0001441634
BF.B,Brown-Forman Corp.,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky",0000014693
CHRW,C. H. Robinson Worldwide,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",0001043277
CA,"CA, Inc.",Information Technology,Systems Software,"Islandia, New York",0000356028
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0000858470
CDNS,Cadence Design Systems,Information Technology,Application Software,"San Jose, California",0000813672
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey",0000016732
COF,Capital One Financial,Financials,Consumer Finance,"Tysons Corner, Virginia",0000927628
CAH,Cardinal Health,Health Care,Health Care Distributors,"Dublin, Ohio",0000721371
KMX,Carmax Inc,Consumer Discretionary,Specialty Stores,"Richmond, Virginia",0001170010
CCL,Carnival Corp.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",0000815097
CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,"Peoria, Illinois",0000018230
CBOE,CBOE Holdings,Financials,Financial Exchanges & Data,"Chicago, Illinois",0001374310
CBG,CBRE Group,Real Estate,Real Estate Services,"Los Angeles, California",0001138118
CBS,CBS Corp.,Consumer Discretionary,Broadcasting,"New York, New York",0000813828
CELG,Celgene Corp.,Health Care,Biotechnology,"Summit, New Jersey",0000816284
CNC,Centene Corporation,Health Care,Managed Health Care,"St Louis, Missouri",0001071739
CNP,CenterPoint Energy,Utilities,Multi-Utilities,"Houston, Texas",0001130310
CTL,CenturyLink Inc,Telecommunication Services,Integrated Telecommunication Services,"Monroe, Louisiana",0000018926
CERN,Cerner,Health Care,Health Care Technology,"North Kansas City, Missouri",0000804753
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois",0001324404
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"San Francisco, California",0000316709
CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,"Stamford, Connecticut",0001091667
CHK,Chesapeake Energy,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",0000895126
CVX,Chevron Corp.,Energy,Integrated Oil & Gas,"San Ramon, California",0000093410
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,"Denver, Colorado",0001058090
CB,Chubb Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",0000896159
CHD,Church & Dwight,Consumer Staples,Household Products,"Ewing, New Jersey",0000313927
CI,CIGNA Corp.,Health Care,Managed Health Care,"Philadelphia, Pennsylvania",0000701221
XEC,Cimarex Energy,Energy,Oil & Gas Exploration & Production,"Denver, Colorado",0001168054
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,"Fairfield, Ohio",0000020286
CTAS,Cintas Corporation,Industrials,Diversified Support Services,"Mason, Ohio",0000723254
CSCO,Cisco Systems,Information Technology,Communications Equipment,"San Jose, California",0000858877
C,Citigroup Inc.,Financials,Diversified Banks,"New York, New York",0000831001
CFG,Citizens Financial Group,Financials,Regional Banks,"Providence, Rhode Island",0000759944
CTXS,Citrix Systems,Information Technology,Internet Software & Services,"Fort Lauderdale, Florida",0000877890
CME,CME Group Inc.,Financials,Financial Exchanges & Data,"Chicago, Illinois",0001156375
CMS,CMS Energy,Utilities,Multi-Utilities,"Jackson, Michigan",0000811156
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,"Atlanta, Georgia",0000021344
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",0001058290
CL,Colgate-Palmolive,Consumer Staples,Household Products,"New York, New York",0000021665
CMCSA,Comcast Corp.,Consumer Discretionary,Cable & Satellite,"Philadelphia, Pennsylvania",0001166691
CMA,Comerica Inc.,Financials,Diversified Banks,"Dallas, Texas",0000028412
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",0000023217
CXO,Concho Resources,Energy,Oil & Gas Exploration & Production,"Midland, Texas",0001358071
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,"Houston, Texas",0001163165
ED,Consolidated Edison,Utilities,Electric Utilities,"New York, New York",0001047862
